,city,station,datetime,weather,dow,hour,speed,vehicleType,energyConsumption,trafficCongestion,carCrash,pedestrianDeath
0,1,1,2021-04-04,2.1345156112906,5.5,12.455830226755811,39.47956045477834,2.253887181000518,8.575182348435252,2.9144549211338107,0.0027475991713090957,0.0005578949128550021
1,1,1,2021-04-11,1.9966545598115033,4.0,13.054215526650975,39.487725826850486,2.241607995709244,8.556106268332469,2.9127046709709545,0.0029224898959855547,0.00038153250543833167
2,1,1,2021-04-18,2.1153830494519714,4.0,13.022687774988663,39.48011067854742,2.249241167864063,8.567173847312867,2.921676916805177,0.0029240618119974054,0.00034728347592953964
3,1,1,2021-04-25,1.9941325948421438,4.0,13.08780776172739,39.45675627176542,2.2538270516396652,8.577784575451282,2.9018084890479896,0.0029093203262641415,0.0002785515047592486
4,1,1,2021-05-02,1.995092827428456,4.0,12.813322858081111,39.515883373180195,2.25042200725436,8.564595805483991,2.906200509607603,0.002893205853164298,0.00037895397329522525
5,1,1,2021-05-09,2.0204120162094577,4.0,12.866057006584784,39.49567799508638,2.257699032012508,8.578202452212752,2.908552693273827,0.0026440480662167204,0.0002253561903721155
6,1,1,2021-05-16,2.0356586865578463,4.0,13.082824472577252,39.50938951984324,2.2600313497590543,8.579080263414204,2.899503252468581,0.0030440465492160727,0.00038219672472786194
7,1,1,2021-05-23,2.0623684050035833,4.0,12.950315766091345,39.50602464355777,2.2531496996734885,8.5706409461485,2.905930531036387,0.002864055405846863,0.0003002564097120426
8,1,1,2021-05-30,2.0768420038035034,4.0,12.967773776672914,39.4647446904717,2.2528389257702877,8.575452941875417,2.9059251067589176,0.002967461418422588,0.0004257562679507003
9,1,1,2021-06-06,2.126575248224743,4.0,13.091171171517926,26.630252222149153,2.2533996823230984,10.648648185517617,2.8963471290591194,0.0020318746108646023,0.00042944409851753274
10,1,1,2021-06-13,2.069723912632391,4.0,13.043064120569728,24.4500980630938,2.251761769360429,10.996576608048963,2.903286960090653,0.00134421957272572,0.0003539143453135541
11,1,1,2021-06-20,2.1685920007695567,4.0,12.952321362132642,24.468079590207214,2.245925225717948,10.983216085486493,2.913667067986348,0.0018922352069200554,0.0001701744943032679
12,1,1,2021-06-27,2.132381631632485,4.0,13.182853115597341,24.41020831649441,2.247226266619901,10.995869724018425,2.900486338897753,0.0017621720347417043,0.0002902772848831562
13,1,1,2021-07-04,2.01148676552529,4.0,12.929339638463164,24.447643378946566,2.2489789934352538,10.991564849307975,2.9066178806474463,0.0016935110917049021,0.00022408582465350437
14,1,1,2021-07-11,2.019891085934564,4.0,12.989095745121622,24.509083116372178,2.247292557306936,10.975516120696495,2.904326673133041,0.001607210235374179,0.0001588045917670857
15,1,1,2021-07-18,2.113638453919052,4.0,13.092049824715312,24.46532230301702,2.249747497446685,10.990994368557017,2.920804522484281,0.0015371095142393616,0.00030823111591078673
16,1,1,2021-07-25,2.054812206188453,4.0,13.050050343322223,24.47076059657892,2.251990397940831,10.991973129524817,2.9222319680444464,0.001966343024303886,0.0002306296352426752
17,1,1,2021-08-01,2.085737422254873,3.5,11.178206191002426,24.44166007333239,2.266339589079909,11.024927015848386,2.9009043832551544,0.001847893025208173,0.0001330852589275179
18,1,2,2021-04-04,1.9434055334526399,5.5,12.273606633673712,39.501463967907014,2.245851553727102,8.561842244450064,2.981753461230733,0.003048765396169121,0.000431738677139298
19,1,2,2021-04-11,2.0499625511579223,4.0,12.68479999514442,39.46979823458343,2.25002275731918,8.569960733638881,2.9598773206898534,0.002764122483916112,0.00033962983819115606
