,datetime,speed,energyConsumption,trafficCongestion,carCrash,pedestrianDeath,treatment,post,interaction,week
0,2021-04-01,39.52017276921567,8.570128131932856,2.943457347599882,0.002355943850004908,0.0001963286541670757,0,0,0,-9
1,2021-04-02,39.374095089023676,8.579192721580904,2.9528468010174134,0.0028370181960477403,0.0004891410682840931,0,0,0,-9
2,2021-04-03,39.5305,8.555673361666669,3.0,0.00375,0.0005,0,0,0,-9
3,2021-04-04,39.53391666666667,8.558125148333334,3.0,0.004,0.0005,0,0,0,-9
4,2021-04-05,39.42718352278247,8.582480930729623,2.969688137569222,0.0020402215097639173,0.0003886136209074128,0,0,0,-9
5,2021-04-06,39.52122079160706,8.574847853123511,2.9861707200762995,0.002670481640438722,0.0003814973772055317,0,0,0,-8
6,2021-04-07,39.51881933438986,8.59517996830428,2.9382923930269413,0.0020800316957210775,0.0002971473851030111,0,0,0,-8
7,2021-04-08,39.457586855389486,8.57811649015144,2.9388300504800555,0.0031673760269226962,0.00029694150252400277,0,0,0,-8
8,2021-04-09,39.4761269417707,8.566116847422093,2.9642618888783,0.0020013342228152103,0.00066711140760507,0,0,0,-8
9,2021-04-10,39.47925,8.554406826666668,3.0,0.0036666666666666666,0.0004166666666666667,0,0,0,-8
10,2021-04-11,39.47141666666667,8.572437448333334,3.0,0.0023333333333333335,0.0003333333333333333,0,0,0,-8
11,2021-04-12,39.492775436484045,8.573642121212123,2.9406983744732087,0.0030102347983142685,0.0002006823198876179,0,0,0,-8
12,2021-04-13,39.547193629831035,8.543185801126434,2.9527092639347448,0.0020392309186249755,0.0004855311711011847,0,0,0,-7
13,2021-04-14,39.401796173369775,8.578044230769232,2.9500195236235847,0.002830925419757907,0.00029285435376805933,0,0,0,-7
14,2021-04-15,39.48828463986115,8.57574083887764,2.9547777456368722,0.003085526950149455,9.642271719217047e-05,0,0,0,-7
15,2021-04-16,39.51937313719834,8.563647253148737,2.970675896548409,0.003461205653302567,0.00019228920296125374,0,0,0,-7
16,2021-04-17,39.5195,8.581591908333335,3.0,0.0030833333333333333,0.0004166666666666667,0,0,0,-7
17,2021-04-18,39.56908333333333,8.527834025,3.0,0.0025,0.0004166666666666667,0,0,0,-7
18,2021-04-19,39.560524067217315,8.523056063799487,2.9659166429317385,0.0029431311117440427,0.00037975885312826357,0,0,0,-7
19,2021-04-20,39.522266800401205,8.543227101303913,2.930591775325978,0.0033099297893681044,0.00020060180541624874,0,0,0,-6
20,2021-04-21,39.517025176039354,8.552039627664707,2.9635381498987172,0.0031831773897945405,0.00019291984180572972,0,0,0,-6
21,2021-04-22,39.603533159571384,8.565179610000966,2.9795347041220195,0.002799498021044502,0.0001930688290375519,0,0,0,-6
22,2021-04-23,39.46462104346143,8.583877920820832,2.9631207046752492,0.002710289420191656,0.00038718420288452233,0,0,0,-6
23,2021-04-24,39.53008333333333,8.559525293333335,3.0,0.0030833333333333333,0.0006666666666666666,0,0,0,-6
24,2021-04-25,39.51233333333333,8.579493448333334,3.0,0.00275,0.00075,0,0,0,-6
25,2021-04-26,39.53089805112134,8.568341137988446,2.946038585838801,0.0031338752325923026,0.0003917344040740378,0,0,0,-6
26,2021-04-27,39.44065781652467,8.578271957598574,2.9308500099068753,0.0027739251040221915,0.0002972062611452348,0,0,0,-5
27,2021-04-28,39.43017206882753,8.573007613045219,2.915766306522609,0.002501000400160064,0.00020008003201280514,0,0,0,-5
