city,station,date,weather,dow,hour,speed,vehicleType,energyConsumption,trafficCongestion,carCrash,pedestrianDeath,treated,treated_time
1,1,2021-04-01,2.2640562248995986,4.0,13.957663989290495,39.421352074966535,2.2551874163319945,8.586320622489847,2.8848728246318607,0.0033467202141900937,0.00033467202141900936,1,-61
1,1,2021-04-02,2.3804764284524405,5.0,12.697817757787773,39.43461602532067,2.258037647842745,8.586429785107372,2.7729468599033815,0.002332167249708479,0.0008329168748958854,1,-60
1,1,2021-04-03,1.7491684306017539,6.0,11.838524342304202,39.52328394315089,2.250377986090112,8.562824980344642,3.0,0.0031750831569398244,0.00045358330813426064,1,-59
1,1,2021-04-04,2.1443613612086065,7.0,11.329314817640775,39.53898977567526,2.2519456737372194,8.565154005798778,3.0,0.0021364260643979855,0.000610407446970853,1,-58
1,1,2021-04-05,2.144267149202171,1.0,13.409771343971048,39.5259088665899,2.249218621483797,8.56494484290168,2.8809014640565884,0.003454515545319954,0.0003290014805066623,1,-57
1,1,2021-04-06,2.177970177970178,2.0,13.7003367003367,39.33798300464967,2.241622574955908,8.572308253968169,2.8826358826358827,0.002565335898669232,0.000160333493666827,1,-56
1,1,2021-04-07,2.1926166203274637,3.0,14.109206054989187,39.437751004016064,2.2570281124497993,8.585120716712895,2.906394810009268,0.0026258881680568426,0.00015446400988569664,1,-55
1,1,2021-04-08,1.8645669291338582,4.0,13.356850393700787,39.47606299212598,2.2360629921259845,8.550787105511745,2.8453543307086613,0.0026771653543307085,0.0007874015748031496,1,-54
1,1,2021-04-09,1.8798818510009845,5.0,13.8697079094191,39.56334099113882,2.221529373153922,8.518354427305455,2.8736462093862816,0.0018050541516245488,0.0004922874958976042,1,-53
1,1,2021-04-10,1.6414419782511545,6.0,11.553999702070609,39.60494562788619,2.2425145240577984,8.542833442574002,3.0,0.0035751526888127515,0.00044689408610159393,1,-52
1,1,2021-04-11,2.075837212794714,7.0,11.379636582069379,39.46808830154678,2.243279771737498,8.558395089352649,3.0,0.0037543174650848474,0.0003003453972067878,1,-51
1,1,2021-04-12,2.121955003878976,1.0,13.567261442979053,39.50628394103956,2.2449961210240494,8.55790000310307,2.8892164468580295,0.002482544608223429,0.00046547711404189296,1,-50
1,1,2021-04-13,2.0223749400671247,2.0,13.590218954770657,39.38996324116989,2.244526130733578,8.570511500719107,2.883011027649033,0.00479463001438389,0.000159821000479463,1,-49
1,1,2021-04-14,1.9220306816384627,3.0,14.040803416099953,39.48979914597501,2.256681954768306,8.57315811481881,2.8902419737466394,0.002688597184880595,0.00015815277558121145,1,-48
1,1,2021-04-15,1.9596362476068923,4.0,13.628908742820677,39.44017230376516,2.271059349074665,8.602924597957776,2.8924696873005744,0.0038289725590299937,0.0006381620931716656,1,-47
1,1,2021-04-16,2.145079270116662,5.0,13.594226742446905,39.49670954232725,2.2339216272808855,8.543103858809333,2.8967992820819624,0.002542626383487885,0.0,1,-46
1,1,2021-04-17,2.480747767857143,6.0,11.530412946428571,39.549386160714285,2.2437220982142856,8.551572463727624,3.0,0.002232142857142857,0.00027901785714285713,1,-45
1,1,2021-04-18,2.155857434998539,7.0,11.206982179374817,39.48846041484078,2.249780893952673,8.571046392053637,3.0,0.0018989190768331872,0.0007303534910896875,1,-44
1,1,2021-04-19,2.1311399443929564,1.0,13.858665430954588,39.51282051282051,2.2599629286376275,8.5812061322211,2.859437751004016,0.001699104108742663,0.00015446400988569664,1,-43
1,1,2021-04-20,1.6527801394320694,2.0,13.453154225471858,39.46828770617242,2.23380377486822,8.550558717905053,2.8243496004080937,0.0030607039619112396,0.0,1,-42
1,1,2021-04-21,2.22337924084649,3.0,13.820120927107826,39.572556264696004,2.2828350688612695,8.60215384951283,2.8653006382264024,0.003694994961370507,0.00016795431642593214,1,-41
1,1,2021-04-22,1.6502770083102494,4.0,13.551419667590027,39.42607340720222,2.237534626038781,8.558863123268607,2.8895429362880884,0.0034626038781163434,0.0005193905817174516,1,-40
1,1,2021-04-23,2.256476683937824,5.0,13.601360103626943,39.378724093264246,2.2530764248704664,8.585985016191627,2.8740284974093266,0.0030764248704663213,0.0008095854922279792,1,-39
1,1,2021-04-24,2.0745203034359663,6.0,11.417521939610292,39.39640041648074,2.262234121671873,8.59617641529069,3.0,0.002826119291982746,0.00014874312063067083,1,-38
